date,product_id,sales,category,region,price,discount,rating,views,clicks,ProductID,profit
2024-01-01,P017,54.0,A,South,66.9,2.85,4.0,3046.0,34.0,,
2024-01-02,P018,48.0,B,North,85.26,5.02,3.0,337.0,85.0,,
2024-01-03,P004,56.0,E,North,70.81,35.53,2.0,3467.0,253.0,,
2024-01-04,P003,65.0,C,North,51.85,5.16,2.0,3065.0,307.0,,
2024-01-05,P008,47.0,D,West,67.4,24.02,5.0,3926.0,87.0,,
2024-01-06,P004,47.0,A,East,39.0,9.23,2.0,3741.0,300.0,,
2024-01-07,P015,65.0,A,South,22.97,7.04,3.0,4948.0,396.0,,
2024-01-08,P013,57.0,E,North,38.77,19.52,2.0,692.0,27.0,,
2024-01-09,P014,45.0,A,North,49.93,6.29,1.0,4111.0,195.0,,
2024-01-10,P014,55.0,E,South,49.53,11.58,3.0,3408.0,210.0,,
2024-01-11,P005,45.0,A,South,76.38,10.15,5.0,463.0,18.0,,
2024-01-12,P005,45.0,A,West,94.27,31.88,1.0,4876.0,461.0,,
2024-01-13,P013,52.0,E,North,45.01,28.55,3.0,1186.0,12.0,,
2024-01-14,P004,31.0,D,North,17.78,1.95,1.0,2027.0,123.0,,
2024-01-15,P018,33.0,A,West,13.01,3.92,3.0,628.0,98.0,,
2024-01-16,P006,44.0,B,West,10.36,4.38,4.0,2991.0,168.0,,
2024-01-17,P005,40.0,C,South,94.43,22.44,2.0,3024.0,394.0,,
2024-01-18,P003,53.0,E,East,99.61,18.44,4.0,3933.0,104.0,,
2024-01-19,P020,41.0,A,South,14.62,3.25,5.0,4888.0,179.0,,
2024-01-20,P003,36.0,D,West,42.24,17.67,4.0,3156.0,190.0,,
2024-01-21,P003,65.0,B,East,70.24,30.82,2.0,3153.0,126.0,,
2024-01-22,P020,48.0,E,West,26.11,7.23,3.0,1943.0,259.0,,
2024-01-23,P002,51.0,B,North,63.5,9.19,1.0,1328.0,149.0,,
2024-01-24,P020,36.0,C,West,83.23,2.98,3.0,2472.0,324.0,,
2024-01-25,P018,44.0,D,East,87.23,21.84,3.0,2805.0,66.0,,
2024-01-26,P010,51.0,E,East,73.58,25.67,1.0,1482.0,97.0,,
2024-01-27,P007,38.0,E,North,17.36,0.63,1.0,3120.0,234.0,,
2024-01-28,P020,54.0,A,North,41.36,3.92,1.0,4571.0,403.0,,
2024-01-29,P014,44.0,B,East,97.06,55.31,4.0,1651.0,467.0,,
2024-01-30,P010,47.0,E,South,27.35,7.39,5.0,609.0,299.0,,
2024-01-31,P020,44.0,B,West,50.85,18.32,1.0,2743.0,122.0,,
2024-02-01,P016,69.0,C,South,40.08,19.63,1.0,4547.0,18.0,,
2024-02-02,P006,50.0,A,North,28.5,16.24,4.0,4050.0,96.0,,
2024-02-03,P017,40.0,C,West,39.12,30.6,2.0,2047.0,44.0,,
2024-02-04,P006,58.0,A,West,27.06,11.57,4.0,4001.0,304.0,,
2024-02-05,P018,38.0,A,North,88.95,31.97,5.0,2956.0,170.0,,
2024-02-06,P010,52.0,B,South,25.7,8.47,2.0,3705.0,468.0,,
2024-02-07,P010,31.0,A,South,66.12,24.24,5.0,3366.0,249.0,,
2024-02-08,P009,37.0,C,North,94.81,13.78,4.0,2521.0,356.0,,
2024-02-09,P015,52.0,C,South,95.74,22.5,4.0,2129.0,354.0,,
2024-02-10,P011,58.0,C,East,64.04,25.37,1.0,3429.0,120.0,,
2024-02-11,P007,52.0,B,North,34.38,15.07,3.0,4310.0,295.0,,
2024-02-12,P018,49.0,B,East,32.31,4.72,1.0,319.0,15.0,,
2024-02-13,P002,47.0,D,East,77.27,29.13,1.0,2711.0,273.0,,
2024-02-14,P002,36.0,E,East,98.26,19.12,3.0,4419.0,436.0,,
2024-02-15,P013,43.0,D,West,16.98,4.07,4.0,2025.0,486.0,,
2024-02-16,P011,46.0,D,East,81.05,13.86,3.0,3395.0,86.0,,
2024-02-17,P019,61.0,A,South,21.07,11.73,3.0,2296.0,342.0,,
2024-02-18,P020,54.0,A,North,36.84,18.17,5.0,1898.0,425.0,,
2024-02-19,P001,33.0,D,South,61.0,31.12,2.0,667.0,278.0,,
2024-02-20,P017,54.0,E,East,36.75,15.42,1.0,785.0,287.0,,
2024-02-21,P020,47.0,D,East,68.52,43.49,4.0,2385.0,401.0,,
2024-02-22,P018,44.0,B,East,47.55,7.09,2.0,1399.0,421.0,,
2024-02-23,P008,57.0,C,East,29.72,3.08,3.0,307.0,368.0,,
2024-02-24,P013,61.0,D,North,57.78,11.55,4.0,4744.0,279.0,,
2024-02-25,P004,60.0,A,North,12.16,3.15,3.0,3222.0,10.0,,
2024-02-26,P019,42.0,E,West,76.7,21.44,3.0,898.0,80.0,,
2024-02-27,P003,47.0,A,North,57.01,4.35,5.0,2830.0,245.0,,
2024-02-28,P006,54.0,B,East,95.2,3.56,1.0,1693.0,409.0,,
2024-02-29,P006,60.0,A,West,19.25,5.33,4.0,3748.0,110.0,,
2024-03-01,P006,46.0,A,East,75.91,4.1,1.0,274.0,293.0,,
2024-03-02,P008,49.0,E,West,37.09,5.51,1.0,2761.0,398.0,,
2024-03-03,P017,40.0,E,North,43.58,9.67,5.0,761.0,33.0,,
2024-03-04,P010,39.0,A,North,41.36,7.44,3.0,2596.0,384.0,,
2024-03-05,P005,59.0,A,North,42.22,15.76,2.0,1685.0,448.0,,
2024-03-06,P019,64.0,D,West,48.78,12.12,1.0,331.0,226.0,,
2024-03-07,P011,50.0,B,South,11.89,5.99,4.0,3496.0,82.0,,
2024-03-08,P010,61.0,D,East,86.21,36.04,3.0,1732.0,477.0,,
2024-03-09,P003,54.0,E,North,89.36,40.1,4.0,3713.0,31.0,,
2024-03-10,P010,44.0,D,North,13.56,7.47,1.0,1955.0,87.0,,
2024-03-11,P002,54.0,D,East,79.84,7.76,3.0,4142.0,478.0,,
